word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
academies,AH,K,AE,D,AH,M,IY,Z,,,,,,,,,,
accelerant,AE,K,S,EH,L,ER,AH,N,T,,,,,,,,,
accent,AH,K,S,EH,N,T,,,,,,,,,,,,
acceptance,AE,K,S,EH,P,T,AH,N,S,,,,,,,,,
access,AE,K,S,EH,S,,,,,,,,,,,,,
accessories,AE,K,S,EH,S,ER,IY,Z,,,,,,,,,,
accident,AE,K,S,AH,D,AH,N,T,,,,,,,,,,
accidentals,AE,K,S,AH,D,EH,N,T,AH,L,Z,,,,,,,
acclaim,AH,K,L,EY,M,,,,,,,,,,,,,
acclamation,AE,K,L,AH,M,EY,SH,AH,N,,,,,,,,,
acclimatization,AE,K,L,AH,M,EY,T,AH,Z,EY,SH,AH,N,,,,,
accolade,AE,K,AH,L,EY,D,,,,,,,,,,,,
accommodation,AH,K,AA,M,AH,D,EY,SH,AH,N,,,,,,,,
accompaniment,AH,K,AH,M,P,N,IH,M,AH,N,T,,,,,,,
accompanist,AH,K,AH,M,P,AH,N,AH,S,T,,,,,,,,
accomplice,AH,K,AA,M,P,L,AH,S,,,,,,,,,,
accomplishment,AH,K,AA,M,P,L,IH,SH,M,AH,N,T,,,,,,
accord,AH,K,AO,R,D,,,,,,,,,,,,,
accordion,AH,K,AO,R,D,IY,AH,N,,,,,,,,,,
accountant,AH,K,AW,N,T,AH,N,T,,,,,,,,,,
accoutrement,AH,K,UW,T,ER,M,AH,N,T,,,,,,,,,
accreditation,AH,K,R,EH,D,AH,T,EY,SH,AH,N,,,,,,,
accrual,AH,K,R,UW,AH,L,,,,,,,,,,,,
accumulation,AH,K,Y,UW,M,Y,AH,L,EY,SH,AH,N,,,,,,
accuracy,AE,K,Y,ER,AH,S,IY,,,,,,,,,,,
accusation,AE,K,Y,AH,Z,EY,SH,AH,N,,,,,,,,,
ace,EY,S,,,,,,,,,,,,,,,,
acetaminophen,AH,S,IY,T,AH,M,IH,N,AH,F,AH,N,,,,,,
acetate,AE,S,AH,T,EY,T,,,,,,,,,,,,
acetone,AE,S,AH,T,OW,N,,,,,,,,,,,,
acetyl,AE,S,AH,T,AH,L,,,,,,,,,,,,
acetylene,AH,S,EH,T,AH,L,IY,N,,,,,,,,,,
ache,EY,K,,,,,,,,,,,,,,,,
achievement,AH,CH,IY,V,M,AH,N,T,,,,,,,,,,
achiness,AH,CH,AY,N,AH,S,,,,,,,,,,,,
acid,AE,S,AH,D,,,,,,,,,,,,,,
acidophilus,AH,S,IH,D,AH,F,AY,L,AH,S,,,,,,,,
acidosis,AE,S,AH,D,OW,S,AH,S,,,,,,,,,,
acknowledgement,AE,K,N,AA,L,IH,JH,M,AH,N,T,,,,,,,
acme,AE,K,M,IY,,,,,,,,,,,,,,
acne,AE,K,N,IY,,,,,,,,,,,,,,
acolyte,AE,K,AH,L,AY,T,,,,,,,,,,,,
aconitum,AH,K,AA,N,AH,T,AH,M,,,,,,,,,,
acorn,EY,K,AO,R,N,,,,,,,,,,,,,
acoustics,AH,K,UW,S,T,IH,K,S,,,,,,,,,,
acquaintance,AH,K,W,EY,N,T,AH,N,S,,,,,,,,,
acquaintanceship,AH,K,W,EY,N,T,AH,N,S,SH,IH,P,,,,,,
acquiescence,AE,K,W,IY,EH,S,AH,N,S,,,,,,,,,
acquirer,AH,K,W,AY,ER,ER,,,,,,,,,,,,
acquisition,AE,K,W,AH,Z,IH,SH,AH,N,,,,,,,,,
acquit,AH,K,W,IH,T,,,,,,,,,,,,,
acquittal,AH,K,W,IH,T,AH,L,,,,,,,,,,,
acre,EY,K,ER,,,,,,,,,,,,,,,
acreage,EY,K,AH,R,IH,JH,,,,,,,,,,,,
acrimony,AE,K,R,IH,M,OW,N,IY,,,,,,,,,,
acrobat,AE,K,R,AH,B,AE,T,,,,,,,,,,,
acronym,AE,K,R,AH,N,IH,M,,,,,,,,,,,
acrophobia,AE,K,R,AH,F,OW,B,IY,AH,,,,,,,,,
acropolis,AH,K,R,AA,P,AH,L,AH,S,,,,,,,,,
action,AE,K,SH,AH,N,,,,,,,,,,,,,
activist,AE,K,T,IH,V,IH,S,T,,,,,,,,,,
activity,AE,K,T,IH,V,IH,T,IY,,,,,,,,,,
actor,AE,K,T,ER,,,,,,,,,,,,,,
actress,AE,K,T,R,AH,S,,,,,,,,,,,,
acts,AE,K,T,S,,,,,,,,,,,,,,
actualities,AE,K,CH,AH,W,AE,L,AH,T,IY,Z,,,,,,,
actuaries,AE,K,CH,UW,EH,R,IY,Z,,,,,,,,,,
actuation,AE,K,CH,AH,W,EY,SH,AH,N,,,,,,,,,
acuity,AH,K,Y,UW,AH,T,IY,,,,,,,,,,,
acumen,AH,K,Y,UW,M,AH,N,,,,,,,,,,,
acupressure,AH,K,AH,P,R,EH,SH,Y,AH,R,,,,,,,,
acupuncture,AE,K,Y,UW,P,AH,NG,K,CH,ER,,,,,,,,
acupuncturist,AE,K,Y,AH,P,AH,NG,K,T,Y,AH,R,AH,S,T,,,
acuteness,AH,K,Y,UW,T,N,AH,S,,,,,,,,,,
acyclovir,AH,S,IH,K,L,OW,V,IH,R,,,,,,,,,
ad,AE,D,,,,,,,,,,,,,,,,
adage,AE,D,AH,JH,,,,,,,,,,,,,,
adagio,AH,D,AA,ZH,IY,OW,,,,,,,,,,,,
adaptability,AH,D,AE,P,T,AH,B,IH,L,AH,T,IY,,,,,,
adaptor,AH,D,AE,P,T,ER,,,,,,,,,,,,
addenda,AE,D,EH,N,D,AH,,,,,,,,,,,,
addendum,AH,D,EH,N,D,AH,M,,,,,,,,,,,
adder,AE,D,ER,,,,,,,,,,,,,,,
addict,AH,D,IH,K,T,,,,,,,,,,,,,
additions,AH,D,IH,SH,AH,N,Z,,,,,,,,,,,
address,AE,D,R,EH,S,,,,,,,,,,,,,
addressee,AE,D,R,EH,S,IY,,,,,,,,,,,,
adductor,AE,D,AH,K,T,AH,R,,,,,,,,,,,
adenoma,AE,D,AH,N,OW,M,AH,,,,,,,,,,,
adenosine,AH,D,EH,N,AH,S,IY,N,,,,,,,,,,
adeptness,AE,D,EH,P,T,N,AH,S,,,,,,,,,,
adequacy,AE,D,AH,K,W,AH,S,IY,,,,,,,,,,
adherence,AH,D,HH,IH,R,AH,N,S,,,,,,,,,,
adhesion,AE,D,HH,IY,ZH,AH,N,,,,,,,,,,,
adiposity,AH,D,IH,P,AA,S,AH,T,IY,,,,,,,,,
adjective,AE,JH,IH,K,T,IH,V,,,,,,,,,,,
adjournment,AH,JH,ER,N,M,AH,N,T,,,,,,,,,,
adjudication,AH,JH,UW,D,AH,K,EY,SH,AH,N,,,,,,,,
adjunct,AE,JH,AH,NG,K,T,,,,,,,,,,,,
adjustability,AH,JH,AH,S,T,AH,B,IH,L,AH,T,EH,,,,,,
adjustor,AH,JH,AH,S,T,ER,,,,,,,,,,,,
adjutant,AE,JH,AH,T,AH,N,T,,,,,,,,,,,
admin,AE,D,M,IH,N,,,,,,,,,,,,,
administration,AE,D,M,IH,N,IH,S,T,R,EY,SH,AH,N,,,,,
admiral,AE,D,M,ER,AH,L,,,,,,,,,,,,
admiralty,AE,D,M,ER,AH,L,T,IY,,,,,,,,,,
admissibility,AH,D,M,IH,S,AH,B,IH,L,AH,T,IY,,,,,,
admittance,AH,D,M,IH,T,AH,N,S,,,,,,,,,,
admixture,AE,D,M,IH,K,S,T,Y,AH,R,,,,,,,,
admonition,AE,D,M,AH,N,IH,SH,AH,N,,,,,,,,,
ado,AH,D,UW,,,,,,,,,,,,,,,
adobe,AH,D,OW,B,IY,,,,,,,,,,,,,
adolescence,AE,D,AH,L,EH,S,AH,N,S,,,,,,,,,
adopter,AH,D,AA,P,T,ER,,,,,,,,,,,,
adorability,AH,D,OW,R,AH,B,IH,L,AH,T,EH,,,,,,,
adornment,AH,D,AO,R,N,M,AH,N,T,,,,,,,,,
adrenalin,AH,D,R,EH,N,AH,L,IH,N,,,,,,,,,
adroitness,AH,D,R,OY,T,N,AH,S,,,,,,,,,,
adulation,AE,JH,AH,L,EY,SH,AH,N,,,,,,,,,,
adult,AH,D,AH,L,T,,,,,,,,,,,,,
adulterant,AH,D,AH,L,T,ER,AH,N,T,,,,,,,,,
adulteress,AH,D,AH,L,T,ER,AH,S,,,,,,,,,,
adultery,AH,D,AH,L,T,ER,IY,,,,,,,,,,,
adulthood,AH,D,AH,L,T,HH,UH,D,,,,,,,,,,
advance,AH,D,V,AE,N,S,,,,,,,,,,,,
advantage,AE,D,V,AE,N,T,IH,JH,,,,,,,,,,
advent,AE,D,V,EH,N,T,,,,,,,,,,,,
adventure,AE,D,V,EH,N,CH,ER,,,,,,,,,,,
adventuress,AH,D,V,EH,N,CH,ER,AH,S,,,,,,,,,
adventurist,AH,D,V,EH,N,CH,ER,IH,S,T,,,,,,,,
adverb,AE,D,V,ER,B,,,,,,,,,,,,,
adversaries,AE,D,V,ER,S,EH,R,IY,Z,,,,,,,,,
adversity,AE,D,V,ER,S,IH,T,IY,,,,,,,,,,
advert,AE,D,V,ER,T,,,,,,,,,,,,,
advertisement,AE,D,V,ER,T,AH,Z,M,AH,N,T,,,,,,,
advice,AE,D,V,AY,S,,,,,,,,,,,,,
advisee,AH,D,V,AY,Z,IY,,,,,,,,,,,,
advisement,AH,D,V,AY,Z,M,AH,N,T,,,,,,,,,
advisor,AE,D,V,AY,Z,ER,,,,,,,,,,,,
advocacy,AE,D,V,AH,K,AH,S,IY,,,,,,,,,,
advocate,AE,D,V,AH,K,AH,T,,,,,,,,,,,
aegis,IY,JH,AH,S,,,,,,,,,,,,,,
aeration,AE,ER,EY,SH,AH,N,,,,,,,,,,,,
aerial,EH,R,IY,AH,L,,,,,,,,,,,,,
aerialist,AE,ER,IY,AH,L,IH,S,T,,,,,,,,,,
aerie,EH,R,IY,,,,,,,,,,,,,,,
aero,EH,R,OW,,,,,,,,,,,,,,,
aerobatics,EH,R,AH,B,AE,T,IH,K,S,,,,,,,,,
aerobics,ER,OW,B,IH,K,S,,,,,,,,,,,,
aerodynamics,EH,R,OW,D,AY,N,AE,M,IH,K,S,,,,,,,
aeronautics,EH,R,AH,N,AO,T,IH,K,S,,,,,,,,,
aerosol,EH,R,AH,S,AA,L,,,,,,,,,,,,
aerospace,EH,R,OW,S,P,EY,S,,,,,,,,,,,
aesthete,EH,S,TH,IY,T,,,,,,,,,,,,,
afeard,EY,F,AH,R,D,,,,,,,,,,,,,
affability,AE,F,AH,B,IH,L,AH,T,EH,,,,,,,,,
affair,AH,F,EH,R,,,,,,,,,,,,,,
affection,AH,F,EH,K,SH,AH,N,,,,,,,,,,,
affiant,AE,F,IY,AH,N,T,,,,,,,,,,,,
affidavit,AE,F,AH,D,EY,V,AH,T,,,,,,,,,,
affiliate,AH,F,IH,L,IY,EY,T,,,,,,,,,,,
affinity,AH,F,IH,N,IH,T,IY,,,,,,,,,,,
affirmation,AE,F,ER,M,EY,SH,AH,N,,,,,,,,,,
affliction,AH,F,L,IH,K,SH,AH,N,,,,,,,,,,
affluence,AE,F,L,UW,AH,N,S,,,,,,,,,,,
affordability,AH,F,AO,R,D,AH,B,IH,L,AH,T,IY,,,,,,
affright,AE,F,R,AY,T,,,,,,,,,,,,,
affront,AH,F,R,AH,N,T,,,,,,,,,,,,
afghans,AE,F,G,AE,N,Z,,,,,,,,,,,,
aficionado,AH,F,IY,SH,Y,AH,N,AA,D,OW,,,,,,,,
afoul,AH,F,AW,L,,,,,,,,,,,,,,
afro,AE,F,R,OW,,,,,,,,,,,,,,
afterbirth,AE,F,T,ER,B,ER,TH,,,,,,,,,,,
afterburner,AE,F,T,ER,B,ER,N,ER,,,,,,,,,,
aftercare,AE,F,T,ER,K,EH,R,,,,,,,,,,,
afterdeck,AE,F,T,ER,D,EH,K,,,,,,,,,,,
aftereffect,AE,F,T,ER,AH,F,EH,K,T,,,,,,,,,
afterglow,AE,F,T,ER,G,L,OW,,,,,,,,,,,
afterimage,AE,F,T,ER,IH,M,IH,JH,,,,,,,,,,
afterlife,AE,F,T,ER,L,AY,F,,,,,,,,,,,
aftermarket,AE,F,T,ER,M,AA,R,K,IH,T,,,,,,,,
aftermath,AE,F,T,ER,M,AE,TH,,,,,,,,,,,
afternoon,AE,F,T,ER,N,UW,N,,,,,,,,,,,
afterschool,AE,F,T,ER,S,K,UW,L,,,,,,,,,,
aftershave,AE,F,T,ER,SH,EY,V,,,,,,,,,,,
aftershock,AE,F,T,ER,SH,AA,K,,,,,,,,,,,
aftertaste,AE,F,T,ER,T,EY,S,T,,,,,,,,,,
afterthought,AE,F,T,ER,TH,AA,T,,,,,,,,,,,
afterworld,AE,F,T,ER,W,ER,L,D,,,,,,,,,,
agate,AE,G,AH,T,,,,,,,,,,,,,,
age,EY,JH,,,,,,,,,,,,,,,,
ageism,EY,JH,IH,Z,AH,M,,,,,,,,,,,,
ageist,EY,JH,IH,S,T,,,,,,,,,,,,,
agencies,EY,JH,AH,N,S,IY,Z,,,,,,,,,,,
agenda,AH,JH,EH,N,D,AH,,,,,,,,,,,,
agent,EY,JH,AH,N,T,,,,,,,,,,,,,
ageratum,AH,JH,EH,R,AH,T,AH,M,,,,,,,,,,
aggrandizement,AE,G,R,AH,N,D,AY,Z,M,AH,N,T,,,,,,
aggravation,AE,G,R,AH,V,EY,SH,AH,N,,,,,,,,,
aggregate,AE,G,R,AH,G,AH,T,,,,,,,,,,,
aggression,AH,G,R,EH,SH,AH,N,,,,,,,,,,,
aggressor,AH,G,R,EH,S,ER,,,,,,,,,,,,
agility,AH,JH,IH,L,AH,T,IY,,,,,,,,,,,
agitation,AE,JH,AH,T,EY,SH,AH,N,,,,,,,,,,
agitprop,AE,JH,AH,T,P,R,AO,P,,,,,,,,,,
agnate,AE,G,N,EY,T,,,,,,,,,,,,,
agnostic,AE,G,N,AA,S,T,IH,K,,,,,,,,,,
agonist,AE,G,AH,N,IH,S,T,,,,,,,,,,,
agony,AE,G,AH,N,IY,,,,,,,,,,,,,
agora,AE,G,ER,AH,,,,,,,,,,,,,,
agoraphobia,AH,G,AO,R,AH,F,OW,B,IY,AH,,,,,,,,
agreement,AH,G,R,IY,M,AH,N,T,,,,,,,,,,
agribusiness,AE,G,R,AH,B,IH,Z,N,AH,S,,,,,,,,
agriculturalist,AE,G,R,IH,K,AH,L,CH,ER,AH,L,AH,S,T,,,,
agriculture,AE,G,R,IH,K,AH,L,CH,ER,,,,,,,,,
ague,EY,G,Y,UW,,,,,,,,,,,,,,
ahoy,AH,HH,OY,,,,,,,,,,,,,,,
aid,EY,D,,,,,,,,,,,,,,,,
aider,EY,D,ER,,,,,,,,,,,,,,,
aikido,EY,K,AH,D,OW,,,,,,,,,,,,,
aileron,EY,L,ER,AA,N,,,,,,,,,,,,,
ailment,EY,L,M,AH,N,T,,,,,,,,,,,,
aimer,EY,M,ER,,,,,,,,,,,,,,,
air,EH,R,,,,,,,,,,,,,,,,
airbag,EH,R,B,AE,G,,,,,,,,,,,,,
airbase,EH,R,B,EY,S,,,,,,,,,,,,,
airboat,EH,R,B,OW,T,,,,,,,,,,,,,
airbrush,AH,IH,R,B,R,AH,SH,,,,,,,,,,,
airconditioner,EH,R,K,AH,N,D,IH,SH,AH,N,ER,,,,,,,
aircraft,EH,R,K,R,AE,F,T,,,,,,,,,,,
aircraftsman,AH,IH,R,K,R,AE,F,T,S,M,AE,N,,,,,,
airdrome,AE,AH,R,D,R,OW,M,,,,,,,,,,,
airdrop,EH,R,D,R,AA,P,,,,,,,,,,,,
airfare,EH,R,F,EH,R,,,,,,,,,,,,,
airfield,EH,R,F,IY,L,D,,,,,,,,,,,,
airflow,EH,R,F,L,OW,,,,,,,,,,,,,
airfoil,EH,R,F,OY,L,,,,,,,,,,,,,
airforce,EH,R,F,AO,R,S,,,,,,,,,,,,
airhead,EH,R,HH,EH,D,,,,,,,,,,,,,
airiness,EH,R,IY,N,AH,S,,,,,,,,,,,,
airlift,EH,R,L,IH,F,T,,,,,,,,,,,,
airline,EH,R,L,AY,N,,,,,,,,,,,,,
airlock,EH,R,L,AO,K,,,,,,,,,,,,,
airmail,EH,R,M,EY,L,,,,,,,,,,,,,
airmattress,AH,IH,R,M,AE,T,R,AH,S,,,,,,,,,
airmen,EH,R,M,EH,N,,,,,,,,,,,,,
airmobile,AH,IH,R,M,OW,B,AH,L,,,,,,,,,,
airplane,EH,R,P,L,EY,N,,,,,,,,,,,,
airplay,AH,IH,R,P,L,EY,,,,,,,,,,,,
airport,EH,R,P,AO,R,T,,,,,,,,,,,,
airship,EH,R,SH,IH,P,,,,,,,,,,,,,
airsickness,AH,IH,R,S,IH,K,N,AH,S,,,,,,,,,
airspace,EH,R,S,P,EY,S,,,,,,,,,,,,
airspeed,EH,R,S,P,IY,D,,,,,,,,,,,,
airstream,AH,IH,R,S,T,R,IY,M,,,,,,,,,,
airstrike,EH,R,S,T,R,AY,K,,,,,,,,,,,
airstrip,EH,R,S,T,R,IH,P,,,,,,,,,,,
airtime,EH,R,T,AY,M,,,,,,,,,,,,,
airwave,EH,R,W,EY,V,,,,,,,,,,,,,
airway,EH,R,W,EY,,,,,,,,,,,,,,
aisle,AY,L,,,,,,,,,,,,,,,,
akimbo,AH,K,IH,M,B,OW,,,,,,,,,,,,
alabaster,AE,L,AH,B,AE,S,T,ER,,,,,,,,,,
alacrity,AH,L,AE,K,R,AH,T,IY,,,,,,,,,,
alarm,AH,L,AA,R,M,,,,,,,,,,,,,
alarmclock,AH,L,AA,R,M,K,L,AA,K,,,,,,,,,
alarmist,AH,L,AA,R,M,IH,S,T,,,,,,,,,,
alarum,AE,L,AH,R,AH,M,,,,,,,,,,,,
albacore,AE,L,B,AH,K,AO,R,,,,,,,,,,,
albatross,AE,L,B,AH,T,R,AA,S,,,,,,,,,,
albinism,AE,L,B,AH,N,IH,Z,AH,M,,,,,,,,,
albino,AE,L,B,AY,N,OW,,,,,,,,,,,,
album,AE,L,B,AH,M,,,,,,,,,,,,,
albumin,AE,L,B,Y,UW,M,AH,N,,,,,,,,,,
alcalde,AE,L,K,AH,L,D,,,,,,,,,,,,
alchemist,AE,L,K,EH,M,IH,S,T,,,,,,,,,,
alchemy,AE,L,K,AH,M,IY,,,,,,,,,,,,
alcohol,AE,L,K,AH,HH,AA,L,,,,,,,,,,,
alcove,AE,L,K,OW,V,,,,,,,,,,,,,
alder,AO,L,D,ER,,,,,,,,,,,,,,
alderman,AO,L,D,ER,M,AH,N,,,,,,,,,,,
aldermen,AO,L,D,ER,M,IH,N,,,,,,,,,,,
ale,EY,L,,,,,,,,,,,,,,,,
alehouse,EY,L,HH,AW,S,,,,,,,,,,,,,
aleph,AA,L,AH,F,,,,,,,,,,,,,,
alertness,AH,L,ER,T,N,AH,S,,,,,,,,,,,
alexandrine,AE,L,AH,G,Z,AE,N,D,R,IY,N,,,,,,,
alfalfa,AE,L,F,AE,L,F,AH,,,,,,,,,,,
alfresco,AE,L,F,R,EH,S,K,OW,,,,,,,,,,
algae,AE,L,JH,IY,,,,,,,,,,,,,,
algebra,AE,L,JH,AH,B,R,AH,,,,,,,,,,,
algorithm,AE,L,G,ER,IH,DH,AH,M,,,,,,,,,,
alias,EY,L,IY,AH,S,,,,,,,,,,,,,
aliases,EY,L,IY,AH,S,IH,Z,,,,,,,,,,,
alibi,AE,L,AH,B,AY,,,,,,,,,,,,,
alienation,EY,L,IY,AH,N,EY,SH,AH,N,,,,,,,,,
alienist,EY,L,IY,AH,N,IH,S,T,,,,,,,,,,
alignment,AH,L,AY,N,M,AH,N,T,,,,,,,,,,
alimony,AE,L,AH,M,OW,N,IY,,,,,,,,,,,
alkali,AE,L,K,AH,L,AY,,,,,,,,,,,,
alkaloid,AE,L,K,AH,L,OY,D,,,,,,,,,,,
alkyd,AE,L,K,AH,D,,,,,,,,,,,,,
allegation,AE,L,AH,G,EY,SH,AH,N,,,,,,,,,,
allegiance,AH,L,IY,JH,AH,N,S,,,,,,,,,,,
allegories,AE,L,AH,G,AO,R,IY,Z,,,,,,,,,,
allegro,AH,L,EH,G,R,OW,,,,,,,,,,,,
allele,AH,L,EH,L,IY,,,,,,,,,,,,,
allenwrench,AO,L,AH,N,R,EH,N,CH,,,,,,,,,,
allergen,AE,L,ER,JH,AH,N,,,,,,,,,,,,
allergist,AE,L,ER,JH,AH,S,T,,,,,,,,,,,
allergy,AE,L,ER,JH,IY,,,,,,,,,,,,,
alley,AE,L,IY,,,,,,,,,,,,,,,
alleyway,AE,L,IY,W,EY,,,,,,,,,,,,,
alliance,AH,L,AY,AH,N,S,,,,,,,,,,,,
allies,AE,L,AY,Z,,,,,,,,,,,,,,
alligator,AE,L,AH,G,EY,T,ER,,,,,,,,,,,
alliteration,AH,L,IH,T,ER,EY,SH,AH,N,,,,,,,,,
allocation,AE,L,AH,K,EY,SH,AH,N,,,,,,,,,,
allocution,AE,L,AH,K,Y,UW,SH,AH,N,,,,,,,,,
allograft,AE,L,AA,G,R,AH,F,T,,,,,,,,,,
allot,AH,L,AA,T,,,,,,,,,,,,,,
allowance,AH,L,AW,AH,N,S,,,,,,,,,,,,
alloy,AE,L,OY,,,,,,,,,,,,,,,
allure,AH,L,UH,R,,,,,,,,,,,,,,
allusion,AH,L,UW,ZH,AH,N,,,,,,,,,,,,
almanac,AA,L,M,AH,N,AE,K,,,,,,,,,,,
almightiness,AO,L,M,AY,T,IY,N,AH,S,,,,,,,,,
almond,AA,M,AH,N,D,,,,,,,,,,,,,
almonds,AA,L,M,AH,N,D,Z,,,,,,,,,,,
alms,AA,L,M,Z,,,,,,,,,,,,,,
almshouse,AE,L,M,SH,AW,Z,,,,,,,,,,,,
aloe,AE,L,OW,,,,,,,,,,,,,,,
aloha,AH,L,OW,HH,AA,,,,,,,,,,,,,
aloneness,AH,L,OW,N,AH,S,,,,,,,,,,,,
alopecia,AE,L,AH,P,IY,SH,IY,AH,,,,,,,,,,
alp,AE,L,P,,,,,,,,,,,,,,,
alpaca,AE,L,P,AE,K,AH,,,,,,,,,,,,
alpha,AE,L,F,AH,,,,,,,,,,,,,,
alphabet,AE,L,F,AH,B,EH,T,,,,,,,,,,,
altar,AO,L,T,ER,,,,,,,,,,,,,,
altarpiece,AO,L,T,ER,P,IY,S,,,,,,,,,,,
alteration,AO,L,T,ER,EY,SH,AH,N,,,,,,,,,,
altercation,AA,L,T,ER,K,EY,SH,AH,N,,,,,,,,,
alternates,AO,L,T,ER,N,EY,T,S,,,,,,,,,,
altimeter,AE,L,T,IH,M,AH,T,ER,,,,,,,,,,
altitude,AE,L,T,AH,T,UW,D,,,,,,,,,,,
altruism,AE,L,T,R,UW,IH,Z,AH,M,,,,,,,,,
altruist,AE,L,T,R,UW,W,AH,S,T,,,,,,,,,
alum,AE,L,AH,M,,,,,,,,,,,,,,
aluminum,AH,L,UW,M,AH,N,AH,M,,,,,,,,,,
alumna,AH,L,AH,M,N,AH,,,,,,,,,,,,
alumni,AH,L,AH,M,N,AY,,,,,,,,,,,,
alumnus,AH,L,AH,M,N,AH,S,,,,,,,,,,,
alveoli,AE,L,V,IY,AH,L,AY,,,,,,,,,,,
alveolus,AE,L,V,IY,AH,L,AH,S,,,,,,,,,,
amah,AE,M,AH,,,,,,,,,,,,,,,
amalgam,AH,M,AE,L,G,AH,M,,,,,,,,,,,
amandine,AH,M,AE,N,D,AY,N,,,,,,,,,,,
amanita,AH,M,AE,N,AH,T,AH,,,,,,,,,,,
amanuensis,AH,M,AE,N,Y,AH,W,EH,N,S,AH,S,,,,,,
